iter	Logloss
0	0.6737851048
1	0.6634375784
2	0.6498497078
3	0.6417342288
4	0.63428109
5	0.6279745419
6	0.617676088
7	0.61064439
8	0.5990010978
9	0.5948899492
10	0.591200099
11	0.5845563857
12	0.581349811
13	0.5785099548
14	0.5759195444
15	0.5707633031
16	0.568580531
17	0.5654787621
18	0.5611736915
19	0.5591041808
20	0.5556727381
21	0.5520843879
22	0.5508082281
23	0.5490187344
24	0.5483912971
25	0.5445801293
26	0.5419843494
27	0.5375850162
28	0.5366113105
29	0.5341319962
30	0.5313735068
31	0.5295286751
32	0.5247551366
33	0.5233392801
34	0.5219134688
35	0.5193706101
36	0.5164926548
37	0.5156359172
38	0.5134800236
39	0.5086740153
40	0.5054009869
41	0.5008769442
42	0.5005927915
43	0.4985329314
44	0.4969619956
45	0.4946733205
46	0.4919731687
47	0.4905743022
48	0.4883512641
49	0.4859250217
50	0.4835343254
51	0.4822530478
52	0.4796895891
53	0.4771182657
54	0.4764524837
55	0.4753732129
56	0.4734359478
57	0.4712651159
58	0.4709603175
59	0.468214073
60	0.4658970272
61	0.4658955252
62	0.4649996388
63	0.4629651525
64	0.4596293136
65	0.4590666605
66	0.4573871488
67	0.4559981011
68	0.4525221591
69	0.4496016917
70	0.4461071422
71	0.4439088697
72	0.442318291
73	0.4397853285
74	0.4392559802
75	0.438183265
76	0.4373536544
77	0.436744298
78	0.4352177892
79	0.4327692152
80	0.4319218691
81	0.4288915122
82	0.4271746664
83	0.4242707395
84	0.4237472644
85	0.4227110354
86	0.4220737545
87	0.4189181775
88	0.4185971926
89	0.4174436875
90	0.416470988
91	0.4150555354
92	0.4126588212
93	0.41035288
94	0.4090895838
95	0.4089543532
96	0.4062269496
97	0.4055245765
98	0.4055048942
99	0.4036408286
100	0.4008860491
101	0.3999713162
102	0.3994784892
103	0.3993226807
104	0.3965284479
105	0.3951705131
106	0.3946443208
107	0.3928327077
108	0.3920105226
109	0.3914615649
110	0.3904054607
111	0.3904054484
112	0.3887654157
113	0.3881183788
114	0.3870259322
115	0.3865900098
116	0.3836236494
117	0.3823257115
118	0.3803038093
119	0.3792418343
120	0.3779777113
121	0.377175361
122	0.3759927452
123	0.375269848
124	0.3744218721
125	0.3734211314
126	0.3705580951
127	0.3699911374
128	0.3690429837
129	0.3681091863
130	0.3644094329
131	0.3636220035
132	0.3621931111
133	0.360624834
134	0.3597658615
135	0.3590646953
136	0.3585602931
137	0.3578846345
138	0.3558539912
139	0.3534474338
140	0.348964125
141	0.3442961768
142	0.3432961027
143	0.3421327585
144	0.3408286146
145	0.3394742052
146	0.3378371213
147	0.3366941272
148	0.3356155104
149	0.3340614958
150	0.3329802901
151	0.3300973335
152	0.3285558692
153	0.3278676165
154	0.3271514318
155	0.3249569625
156	0.3235023365
157	0.323334761
158	0.3216517723
159	0.32042093
160	0.319124984
161	0.3172532662
162	0.316743707
163	0.3153589085
164	0.3147692848
165	0.3143609707
166	0.3137666742
167	0.3117948819
168	0.3095754226
169	0.3094951431
170	0.3078656542
171	0.3067154182
172	0.3051242412
173	0.3044257855
174	0.3035350562
175	0.3020388755
176	0.3010154257
177	0.2988209073
178	0.2976527058
179	0.2959968898
180	0.2945293434
181	0.293330982
182	0.2930637737
183	0.2912745436
184	0.2903721582
185	0.2893348731
186	0.2880790972
187	0.2864924968
188	0.2853050924
189	0.2838384555
190	0.2810078093
191	0.2797605542
192	0.2777593257
193	0.2767360975
194	0.2759190523
195	0.2746753694
196	0.2732068185
197	0.2718209731
198	0.2709151822
199	0.2690815841
200	0.2678670182
201	0.2671017484
202	0.2656437159
203	0.2640180917
204	0.2625175336
205	0.2608747657
206	0.259832911
207	0.2588652082
208	0.2569113849
209	0.2558542328
210	0.2541562799
211	0.2527399426
212	0.2516419307
213	0.249600834
214	0.2485592188
215	0.2474257136
216	0.2461743266
217	0.2443468799
218	0.2429590194
219	0.2415536446
220	0.2402935705
221	0.2391704956
222	0.2376956295
223	0.2354799658
224	0.2341932422
225	0.2328212209
226	0.2315524986
227	0.2304587705
228	0.2289630918
229	0.2280060574
230	0.2267108376
231	0.2255119713
232	0.2238514864
233	0.220966638
234	0.2193125026
235	0.218537532
236	0.2173518123
237	0.2159484789
238	0.2143018239
239	0.2129531219
240	0.2111827208
241	0.2104124239
242	0.2095825747
243	0.2091710247
244	0.207946885
245	0.2066209958
246	0.2049180618
247	0.2037973307
248	0.2027638854
249	0.201702624
250	0.2003972982
251	0.198396682
252	0.1967925822
253	0.195934793
254	0.1948455699
255	0.1942374699
256	0.1926982165
257	0.191688067
258	0.1909999603
259	0.1899423088
260	0.1887791893
261	0.1876654325
262	0.1861427672
263	0.1848016156
264	0.1840508005
265	0.1829620146
266	0.1822585373
267	0.1807810737
268	0.1801549113
269	0.1790859476
270	0.1787163011
271	0.1779855064
272	0.1769911149
273	0.1764284025
274	0.1755015424
275	0.1752663329
276	0.1742873338
277	0.1733123454
278	0.1724456117
279	0.1719240938
280	0.1711057627
281	0.1703382976
282	0.1695275388
283	0.1685436153
284	0.1676097054
285	0.1666095437
286	0.1656872902
287	0.1647829501
288	0.1639859204
289	0.1628842653
290	0.1616628333
291	0.1603419692
292	0.159455779
293	0.1589132937
294	0.158461811
295	0.1573017297
296	0.1564634486
297	0.1555726955
298	0.1547306643
299	0.1537297414
